asn,degree
6939,7064
174,5352
3356,4980
24482,3382
3549,2538
7018,2373
58511,2351
49605,2193
8220,2143
4323,2025
25091,1967
38880,1960
37100,1901
209,1894
20764,1875
13237,1872
30844,1755
6461,1718
2914,1716
34288,1693
34224,1682
12779,1675
45352,1657
51185,1651
1916,1589
3257,1577
18106,1576
15547,1468
37497,1413
20485,1351
20932,1285
28329,1272
4826,1246
1103,1245
52720,1241
12552,1231
31019,1231
14840,1227
701,1225
28220,1212
9304,1207
22548,1194
12859,1193
52863,1188
1267,1186
42708,1167
28917,1150
29140,1133
25220,1113
31133,1085
2828,1032
8447,1021
12389,975
8468,971
50300,971
13030,948
1764,930
9498,922
47872,902
15605,894
43531,890
3216,857
7575,856
29226,851
4739,831
8359,828
6830,817
12637,797
15435,787
8426,786
553,776
3741,751
8928,746
16735,746
6453,725
42541,711
14061,708
8283,699
3333,695
2603,688
3491,680
50304,638
4755,594
3320,582
41695,580
6667,575
5588,569
8218,563
63956,543
4657,540
18881,531
46887,529
22773,523
41722,520
4766,502
22652,501
12741,487
7029,474
3303,471
12874,456
6128,446
4589,429
4181,419
25074,414
19653,410
29608,406
9318,392
20115,388
8708,387
4788,375
680,371
3292,370
12350,369
41095,364
852,354
1221,347
6730,345
21219,344
3786,343
286,340
7713,338
40191,336
2516,325
2497,322
5413,321
1273,320
39326,309
577,308
8758,300
8732,292
702,281
5617,280
11404,280
8881,273
5394,269
9050,269
20473,269
5769,265
55410,262
7474,261
4809,258
32653,253
5650,249
4608,247
10796,244
7385,243
8607,242
3255,239
6079,232
29076,232
7738,231
4761,226
5645,225
8551,224
8717,221
4844,218
8167,212
35320,212
41497,212
2856,211
5392,210
1680,209
9121,203
6327,202
3326,199
9009,199
23947,199
7545,198
12578,198
13768,193
15830,192
5396,191
36351,190
202032,188
2381,186
15290,184
8866,179
15772,179
2119,178
16509,178
1257,177
34984,176
29222,175
30781,175
3269,175
17451,171
5089,170
20632,169
39737,169
1403,166
6720,166
15133,166
45899,166
3215,165
812,164
8400,163
49544,163
5483,161
5400,159
8262,159
3209,158
29119,156
11427,155
37662,155
9299,153
44444,153
35297,151
13101,150
12695,149
7303,148
50673,148
7922,147
2852,146
8473,145
9583,144
4713,143
2686,141
8943,141
16276,140
22927,140
29075,140
4134,139
37282,139
13249,138
23148,138
3327,137
22822,137
38001,137
8767,136
29208,136
5713,135
3352,134
4775,134
18403,134
57344,134
5580,133
31042,133
6661,132
9145,129
8764,128
12883,128
24218,127
53062,127
7049,126
20080,126
28716,126
29838,125
8560,123
12714,123
15557,123
15695,123
9119,122
17676,122
8641,121
12301,121
31400,121
199599,121
8308,120
35805,120
37468,120
5603,119
199524,117
12715,116
31242,116
8657,115
29049,115
29632,115
8953,114
43350,114
8422,113
15589,113
31027,113
42473,112
21320,111
31287,111
59605,111
5466,110
9381,110
16637,110
31122,110
6866,108
23393,108
15802,108
1241,107
4800,107
13094,107
25291,107
8529,105
14868,105
31216,105
26615,104
34779,104
2907,102
7470,102
13285,102
28146,102
45758,102
1547,101
5563,101
38193,101
4837,100
38158,99
41690,99
36692,98
43727,98
15958,97
6677,96
2611,95
15623,95
16097,95
25159,95
20001,95
29314,95
34309,95
42337,95
42525,95
6724,94
63949,94
198435,94
260,93
9329,93
16347,93
35432,93
6805,92
8365,92
43996,92
44217,92
45177,92
8304,91
15895,91
24940,91
31261,91
8452,90
15704,90
20676,90
29169,90
31638,90
43561,90
50245,90
3301,88
6739,88
8674,88
9116,88
25180,88
2110,87
4808,87
4847,87
8851,87
12302,87
18059,87
44735,87
51468,87
4648,85
11664,85
13194,85
13238,85
25369,85
9044,84
12731,84
14907,84
19108,84
21497,84
39063,84
39120,84
47232,84
25478,83
29017,83
34695,83
47447,83
4750,82
15924,82
32098,82
34177,82
5391,81
5578,81
6908,81
12759,81
29396,81
39122,81
45629,81
50629,81
196925,81
786,80
11351,80
15600,80
16243,80
39651,80
56534,80
61955,80
197595,80
12969,79
12993,79
20860,79
21385,79
33182,79
47764,79
9036,78
12496,78
22363,78
29467,78
39392,78
44814,78
8487,77
8595,77
16086,77
16353,77
48526,77
1836,76
6181,76
6697,76
12083,76
13193,76
41552,76
48173,76
53264,76
24167,75
48917,75
1280,74
2116,74
2818,74
12400,74
20956,74
25549,74
31252,74
33660,74
3262,73
8513,73
9063,73
21263,73
41913,73
60501,73
197426,73
6735,72
12310,72
12843,72
34123,72
35000,72
60294,72
559,71
11426,71
12880,71
15399,71
15598,71
20504,71
24961,71
