asn,degree
6939,7064
174,5352
3356,4980
24482,3382
3549,2538
7018,2373
58511,2351
49605,2193
8492,2153
8220,2143
4323,2025
25091,1967
38880,1960
37100,1901
209,1894
20764,1875
13237,1872
23106,1791
30844,1755
6461,1718
2914,1716
34288,1693
34224,1682
12779,1675
1299,1668
10026,1660
45352,1657
51185,1651
1916,1589
3257,1577
18106,1576
15547,1468
3252,1456
37497,1413
9002,1385
20485,1351
52320,1322
25933,1299
20932,1285
28329,1272
4826,1246
1103,1245
52720,1241
12552,1231
31019,1231
14840,1227
701,1225
263047,1213
28220,1212
263945,1207
9304,1207
262354,1199
263152,1196
262317,1196
263584,1195
262612,1194
262757,1194
264911,1194
22548,1194
263651,1193
12859,1193
264268,1192
52863,1188
53070,1187
1267,1186
53067,1186
28571,1185
52940,1182
42708,1167
28917,1150
29140,1133
263075,1124
25220,1113
31133,1085
2828,1032
8447,1021
12389,975
8468,971
50300,971
13030,948
1764,930
9498,922
47872,902
20562,899
15605,894
33891,894
43531,890
14537,888
3267,871
3216,857
7575,856
29226,851
25160,834
4739,831
8359,828
6830,817
12637,797
202018,795
30132,791
15435,787
8426,786
553,776
200130,761
50763,760
3741,751
8928,746
16735,746
6453,725
9189,725
42541,711
8222,709
14061,708
8283,699
3333,695
52873,694
2603,688
3491,680
12989,665
4637,649
50304,638
31025,633
41811,615
202109,596
4755,594
3320,582
41695,580
6667,575
5588,569
56730,564
8218,563
53828,555
63956,543
4657,540
18881,531
46887,529
25227,528
22773,523
41722,520
8455,510
4766,502
22652,501
2895,493
11666,491
39821,490
12741,487
6762,485
7029,474
3303,471
12874,456
11686,448
38809,447
6128,446
23673,441
1239,431
4589,429
4181,419
25074,414
19653,410
29608,406
9318,392
20115,388
8708,387
4788,375
680,371
3292,370
12350,369
16265,368
41095,364
50607,356
852,354
1221,347
6730,345
21219,344
3786,343
286,340
201054,340
7713,338
32787,338
40191,336
6663,335
4230,326
19151,326
2516,325
2497,322
24441,322
5413,321
1273,320
10429,314
7660,312
39326,309
577,308
12956,307
7473,304
8758,300
20940,294
8732,292
702,281
5617,280
11404,280
20804,274
8881,273
5394,269
9050,269
20473,269
5769,265
14361,265
45896,265
55410,262
7474,261
4809,258
6777,258
32653,253
18101,251
262589,250
5650,249
393406,247
4608,247
27446,247
62567,247
10796,244
7385,243
8607,242
3255,239
3561,234
6079,232
29076,232
7738,231
8596,231
2854,230
29686,230
4761,226
15412,226
19551,226
5645,225
9049,225
8551,224
33491,224
2764,223
8717,221
4844,218
3223,216
10310,213
8167,212
35320,212
41497,212
2856,211
5392,210
1680,209
9121,203
13335,203
15169,203
8075,202
6327,202
11039,201
2906,199
3326,199
9009,199
23947,199
7545,198
12578,198
37271,194
13768,193
15830,192
32934,192
5396,191
36351,190
202032,188
42,187
2381,186
5511,186
15290,184
8866,179
15772,179
2119,178
16509,178
1257,177
31500,176
34984,176
29222,175
30781,175
3269,175
36236,174
62081,172
17451,171
24785,171
5089,170
7015,169
7342,169
20632,169
39737,169
13414,167
1403,166
6720,166
15133,166
45899,166
3215,165
812,164
8400,163
49544,163
5483,161
5400,159
8262,159
3209,158
29119,156
11427,155
37662,155
9299,153
44444,153
293,152
25152,152
714,151
24724,151
35297,151
13101,150
2635,150
12695,149
7303,148
50673,148
7922,147
8966,147
33651,147
2852,146
16657,146
8473,145
23005,145
9583,144
4713,143
9505,143
6507,142
46489,142
2686,141
8943,141
17922,141
28598,141
16276,140
22927,140
29075,140
4134,139
37282,139
13249,138
23148,138
3327,137
22822,137
23520,137
38001,137
8767,136
29208,136
54113,136
3856,135
5713,135
3352,134
4775,134
15694,134
18403,134
29791,134
57344,134
5580,133
31042,133
4651,132
6661,132
36408,130
9145,129
8764,128
12883,128
58453,128
24218,127
53062,127
2152,126
7049,126
20080,126
28716,126
6774,125
29838,125
32590,125
46786,125
8560,123
12714,123
15557,123
15695,123
53237,123
9119,122
17676,122
8641,121
12301,121
31400,121
199599,121
8308,120
11164,120
35805,120
37468,120
5603,119
31529,118
34655,118
38082,118
44654,118
45147,118
29535,117
199524,117
12715,116
24130,116
31242,116
8657,115
13789,115
29049,115
29632,115
8953,114
16397,114
33132,114
42861,114
43350,114
45474,114
8422,113
15589,113
31027,113
40676,113
41313,113
11537,112
42473,112
52965,112
17557,111
21320,111
28368,111
31287,111
59605,111
5466,110
9381,110
13649,110
16637,110
25577,110
31122,110
12713,109
6866,108
23393,108
15802,108
1241,107
4800,107
6910,107
13094,107
25291,107
30081,107
45820,107
