BGP Mux,Peer Organization,Peer ASN,Peer IP Address,IP Version,Short Description,Transit,Route Server,Session ID
amsterdam01,"TU Darmstadt, Hochschulrechenzentrum",8365,2001:7f8:1::a500:8365:1,IPv6,—,✘,✘,76
amsterdam01,Seeweb s.r.l.,12637,2001:7f8:1::a501:2637:1,IPv6,—,✘,✘,78
amsterdam01,Yahoo! Europe Ltd,10310,2001:7f8:1::a501:310:1,IPv6,—,✘,✘,79
amsterdam01,Linode,63949,80.249.212.136,IPv4,—,✘,✘,272
amsterdam01,Linode,63949,2001:7f8:1::a506:3949:1,IPv6,—,✘,✘,273
amsterdam01,Yahoo! Europe Ltd,10310,2001:7f8:1::a501:310:2,IPv6,—,✘,✘,80
amsterdam01,New Media Express,38001,80.249.213.132,IPv4,—,✘,✘,275
amsterdam01,New Media Express,38001,2001:7f8:1::a503:8001:1,IPv6,—,✘,✘,276
amsterdam01,InterBox Internet,16298,2001:7f8:1::a501:6298:1,IPv6,—,✘,✘,81
amsterdam01,Open Peering Initiative,20562,2001:7f8:1::a502:562:1,IPv6,—,✘,✘,82
amsterdam01,Open Peering Initiative,20562,2001:7f8:1::a502:562:2,IPv6,—,✘,✘,83
amsterdam01,Dial Telecom,29208,2001:7f8:1::a502:9208:1,IPv6,—,✘,✘,84
amsterdam01,Angola Cables,37468,80.249.213.48,IPv4,—,✘,✘,281
amsterdam01,Angola Cables,37468,2001:7f8:1::a503:7468:1,IPv6,—,✘,✘,282
amsterdam01,VNet.eu,29405,80.249.212.66,IPv4,—,✘,✘,283
amsterdam01,VNet.eu,29405,2001:7f8:1::a502:9405:1,IPv6,—,✘,✘,284
amsterdam01,Akamai,20940,2001:7f8:1::a502:940:1,IPv6,—,✘,✘,85
amsterdam01,Akamai,20940,2001:7f8:1::a502:940:2,IPv6,—,✘,✘,86
amsterdam01,E4A,34695,2001:7f8:1::a503:4695:1,IPv6,—,✘,✘,87
amsterdam01,True Internet,38082,80.249.210.254,IPv4,—,✘,✘,289
amsterdam01,True Internet,38082,2001:7f8:1::a503:8082:1,IPv6,—,✘,✘,290
amsterdam01,Lepida,31638,80.249.211.74,IPv4,—,✘,✘,291
amsterdam01,Lepida,31638,2001:7f8:1::a503:1638:1,IPv6,—,✘,✘,292
amsterdam01,Gyron,29017,80.249.209.84,IPv4,—,✘,✘,293
amsterdam01,Gyron,29017,2001:7f8:1::a502:9017:1,IPv6,—,✘,✘,294
amsterdam01,i3D,49544,80.249.208.162,IPv4,—,✘,✘,295
amsterdam01,i3D,49544,2001:7f8:1::a504:9544:1,IPv6,—,✘,✘,296
