asn,degree
6939,7222
174,5463
3356,5042
24482,3403
3549,2538
7018,2395
58511,2368
8220,2220
49605,2212
8492,2153
4323,2038
25091,2028
38880,1979
37100,1938
20764,1934
209,1911
13237,1890
34224,1837
23106,1793
30844,1781
2914,1758
6461,1732
34288,1731
1299,1706
12779,1692
10026,1682
45352,1675
20485,1671
51185,1671
3257,1633
1916,1589
18106,1578
16276,1528
15547,1513
9304,1486
37497,1466
3252,1457
52320,1409
9002,1408
9498,1354
12859,1301
25933,1299
20932,1285
1267,1278
1103,1273
28329,1272
43531,1270
4826,1247
31133,1244
52720,1241
8468,1240
12552,1232
701,1231
31019,1231
14840,1228
263047,1213
28220,1212
263945,1207
22548,1202
262354,1199
262317,1196
263152,1196
263584,1195
262612,1194
262757,1194
264911,1194
263651,1193
264268,1192
52863,1188
53070,1187
53067,1186
20562,1185
28571,1185
52940,1182
42708,1168
28917,1152
29140,1134
263075,1124
25220,1113
2828,1038
8447,1022
50300,993
14537,979
12389,976
13030,954
20473,947
16265,932
1764,931
20804,926
25160,922
47872,903
19551,900
20940,898
15605,895
33891,894
15169,889
13335,878
32934,877
7575,875
4739,872
12578,872
3267,871
2906,867
42,865
12989,863
3216,859
49544,853
29226,851
15133,848
8359,832
6830,825
3856,821
36408,806
5588,799
12637,798
32590,798
3741,796
202018,795
30132,791
8426,789
15435,788
196844,785
553,777
29314,773
6663,766
39063,765
286,762
62044,761
200130,761
50763,760
8928,751
16735,748
6453,742
8732,739
14061,734
8881,729
2603,725
9189,725
9050,720
42541,711
8222,709
8283,699
3333,695
52873,695
12741,689
9505,688
3491,684
10310,683
4761,680
8551,673
50304,669
3223,667
8075,661
9009,661
1680,660
36351,654
4637,649
13768,646
41811,642
31025,633
30781,630
7342,627
31500,625
36236,625
13414,621
8400,619
8262,614
37662,610
29119,609
41695,607
35297,601
9583,597
8473,596
202109,596
29075,594
29791,594
4755,594
37282,593
2635,592
56730,592
6661,590
25152,590
31042,587
22773,587
9145,586
28716,585
3320,585
46786,584
4651,583
5713,582
24218,582
34655,579
6667,576
15695,576
23393,575
56258,575
8422,573
37468,571
43350,571
44654,571
8218,570
15589,569
38082,567
40676,566
201054,566
45474,565
6866,564
13285,564
25577,564
31122,564
4800,563
17557,563
59605,563
16637,562
30081,562
33353,560
37179,559
12713,558
15802,558
42473,558
53828,558
41690,557
6677,556
47869,556
63949,554
15623,553
1547,552
8304,552
12850,552
8529,550
16347,550
35432,550
2611,549
8309,549
39386,549
43996,549
31638,548
33438,548
50245,548
29169,547
51468,547
59318,547
62955,547
4657,546
21345,546
34309,546
63956,546
8674,545
13122,545
39120,545
132876,545
260,544
8403,544
23576,544
47254,544
14340,543
8851,542
29697,542
40627,542
47447,542
13238,541
18059,541
9044,540
44735,540
7160,539
12759,539
34177,539
48526,539
9116,538
36944,538
51028,538
9036,537
12969,537
29017,537
34695,537
39122,537
61955,537
4766,537
1248,536
12496,536
13213,536
18705,536
25369,536
54994,536
55195,536
8544,535
39651,535
18881,535
14492,534
197981,534
200612,534
41552,533
33182,532
49505,532
64049,531
20860,530
22363,530
33047,530
47541,530
46887,530
8513,529
16353,529
37054,529
44020,529
44050,529
55819,529
25178,528
56704,528
25227,528
8757,527
34442,527
48519,527
132591,527
197440,527
6648,526
36994,526
44356,525
60350,525
15399,524
38182,524
13896,523
49375,523
31727,522
39179,522
43404,522
198781,522
9029,521
16211,521
16839,521
30889,521
60171,521
203724,521
15533,520
31463,520
51945,520
41722,520
8681,519
44981,519
203164,519
15594,518
31059,518
31708,518
37564,518
8897,517
61323,517
2484,516
10474,516
30740,516
34245,516
52075,516
4004,515
27630,515
3213,514
9178,514
17660,514
35228,514
35574,514
37678,514
39915,514
25061,513
35180,513
37613,513
42689,513
60610,513
5503,512
8455,512
13009,512
27822,512
31595,512
34270,512
199670,512
29611,511
33763,511
47474,511
64096,511
12874,510
24916,510
37009,510
50056,510
16082,509
20712,509
29527,509
49289,509
56595,509
136620,509
19324,508
20799,508
23939,508
61231,508
8282,507
8878,507
12576,507
29668,507
34790,507
49572,507
6619,506
8683,506
16164,506
20952,506
33920,506
35266,506
7642,505
8530,505
13005,505
29636,505
41230,505
42831,505
47264,505
5631,504
8301,504
34555,504
37273,504
59455,504
61337,504
5564,503
29006,503
34066,503
47480,503
60447,503
6762,502
23889,502
24594,502
42353,502
50316,502
51918,502
59701,502
200781,502
327814,502
13208,501
22652,501
25376,501
29009,501
35028,501
38740,501
39905,501
41000,501
44611,501
197000,501
8902,500
36131,500
39356,500
42369,500
51043,500
61049,500
2134,499
5459,499
25460,499
29606,499
30827,499
31084,499
34934,499
39202,499
51561,499
56478,499
197898,499
198047,499
198313,499
15839,498
20915,498
21472,498
28792,498
29452,498
39537,498
41678,498
43013,498
47631,498
51055,498
51603,498
56329,498
57119,498
57356,498
61081,498
61215,498
199659,498
12519,497
16303,497
17088,497
21267,497
33941,497
34407,497
34967,497
37122,497
37680,497
38719,497
50468,497
50823,497
59659,497
60800,497
61124,497
198554,497
200507,497
207044,497
6779,496
